id;title;description;google_product_category;link;image_link;additional_image_link;availability;price;sale_price;brand
r2u_prd2244;[트리트룸] 시그니처 샴푸 베이비파우더향;눅눅하고 지친 하루를 뽀송뽀송하게!;436;https://st1.random2u.com/api/product/info/2244;https://st1.random2u.com/uploads/2020/10/26/17/51/8216a67fe26e05367612194fdb4f62d3.jpg;;in stock;11500;5000;
r2u_prd2245;[무로] 롱거라이트;이거 설치하면 말이 필요 없어요..그냥 분위기 깡패!;436;https://st1.random2u.com/api/product/info/2245;https://st1.random2u.com/uploads/2020/10/26/17/34/30eee0258b2a5e20431fa2517df62000.jpg;;in stock;13900;5000;
r2u_prd2246;[광동제약] 큐브이 올인원 스킨로션500;500ml  대용량으로 넉넉하게 챙기는 피부;166;https://st1.random2u.com/api/product/info/2246;https://st1.random2u.com/uploads/2020/10/20/10/23/e22465137f50e774f8d43b99983b5f60.png;;in stock;11900;5000;광동생활건강
r2u_prd2255;[MOART] 컬러 래스팅 틴트 C1 레드리드;다양한 피부톤에 어울릴 수 있는 컬러!;166;https://st1.random2u.com/api/product/info/2255;https://st1.random2u.com/uploads/2020/10/27/18/40/e0f1c4586b3bf66e1015333ac8fc9c1f.jpg;;in stock;11000;5000;
r2u_prd2256;[MOART] 컬러 래스팅 틴트 C2 제스터 레드;전문가적 시각과 아트적인 접근을 통해 아름다움 표현한 모아트!;166;https://st1.random2u.com/api/product/info/2256;https://st1.random2u.com/uploads/2020/10/27/18/44/50e998d13fadd67cbc5754fb4015f256.jpg;;in stock;11000;5000;
r2u_prd2257;[MOART] 컬러 래스팅 틴트 C3 탠저린 탱고;#터치하는 순간 빠르게 착색 #착색틴트 #건조함없는 #모아트;166;https://st1.random2u.com/api/product/info/2257;https://st1.random2u.com/uploads/2020/10/27/18/47/9c649bfb4630aba79c5530af0330493a.jpg;;in stock;11000;5000;
r2u_prd2258;[미플래쉬] LED 치아미백 칫솔+치약 세트;치아 하나의 가치는 약 3천만원! 3분 투자로 관리하자!;436;https://st1.random2u.com/api/product/info/2258;https://st1.random2u.com/uploads/2020/10/26/18/54/627373975307330028f60f7058f4b4f9.jpg;;in stock;29000;5000;
r2u_prd2259;[잇플래쉬] LED 잇몸관리 칫솔+치약 세트;치아 하나의 가치는 약 3천만원! 3분 투자로 관리하자!;436;https://st1.random2u.com/api/product/info/2259;https://st1.random2u.com/uploads/2020/10/26/18/39/153096f2424244f0beba60fe308f11a1.jpg;;in stock;26000;5000;
r2u_prd2261;[킵쿨] 오션 딥 블루오일;텍스쳐는 가볍게, 보습은 진하게!;166;https://st1.random2u.com/api/product/info/2261;https://st1.random2u.com/uploads/2020/10/28/15/04/718099ca296ee00169c99aa8d44be163.jpg;;in stock;27000;5000;
r2u_prd2264;[킵쿨] 더블 센세이셔널 립 쥬시코랄;시선집중 컬러감과 볼륨감! #투톤립밤;166;https://st1.random2u.com/api/product/info/2264;https://st1.random2u.com/uploads/2020/10/28/14/37/0cfbed4a7139cc37c66847920640ab7b.jpg;;in stock;18000;5000;
